datetime,actual,mean,naive,drift,seasonal_naive,sarima,feature_model
2019-02-17,60.79900595238095,55.65054511874547,54.287059523809525,54.970799722120994,60.73777380952381,61.64760389168789,58.79583000386597
2019-02-24,59.46751785714285,55.65054511874547,54.287059523809525,55.00678604834791,60.69296428571428,61.509377376328295,58.32069183331269
2019-03-03,58.48182142857143,55.65054511874547,54.287059523809525,55.04277237457483,63.44200595238095,62.25044657666146,58.61040623865686
2019-03-10,58.99095238095238,55.65054511874547,54.287059523809525,55.07875870080175,59.17857142857143,60.218627037685295,57.747795101636
2019-03-17,60.07891071428572,55.65054511874547,54.287059523809525,55.11474502702867,60.88598809523809,60.07214430379322,57.568369083232646
2019-03-24,57.649363095238094,55.65054511874547,54.287059523809525,55.15073135325559,60.75360714285714,59.29910791308079,54.76920151367241
2019-03-31,56.77151190476191,55.65054511874547,54.287059523809525,55.186717679482506,55.40161904761904,56.19867014325199,54.332817807455996
2019-04-07,56.43385714285714,55.65054511874547,54.287059523809525,55.222704005709424,54.534148809523806,55.79369658756884,54.83041739052935
2019-04-14,56.765970238095235,55.65054511874547,54.287059523809525,55.25869033193634,56.09988095238096,55.951573144848545,54.913651692433426
2019-04-21,51.656261904761905,55.65054511874547,54.287059523809525,55.29467665816327,54.43427380952381,55.42925394047591,53.900470395683904
2019-04-28,52.33675,55.65054511874547,54.287059523809525,55.33066298439019,55.34271428571428,56.07133259987029,53.95985676718521
2019-05-05,53.123172619047615,55.65054511874547,54.287059523809525,55.366649310617106,52.81313690476191,54.42995231722418,52.336122806339695
2019-05-12,56.02357738095238,55.65054511874547,54.287059523809525,55.402635636844025,52.85682142857143,54.43985723084479,53.08814534837024
2019-05-19,55.28559523809524,55.65054511874547,54.287059523809525,55.43862196307094,55.369166666666665,55.40524860006206,51.647668617695224
2019-05-26,54.94535119047619,55.65054511874547,54.287059523809525,55.47460828929786,53.64008928571428,53.722036248692426,52.173209580720155
2019-06-02,51.30880357142857,55.65054511874547,54.287059523809525,55.51059461552478,53.98164880952381,54.86794474629824,51.81615716779589
2019-06-09,54.52816071428572,55.65054511874547,54.287059523809525,55.5465809417517,56.448547619047616,55.87312704273035,54.46578502641314
2019-06-16,52.28670833333334,55.65054511874547,54.287059523809525,55.58256726797862,55.91553571428572,55.733846919379324,54.75491271272479
2019-06-23,52.54121428571428,55.65054511874547,54.287059523809525,55.61855359420554,56.29283928571428,56.57278805481082,54.33852797154601
2019-06-30,55.955285714285715,55.65054511874547,54.287059523809525,55.654539920432455,55.683684523809525,56.49295903567481,55.30557625889289
2019-07-07,55.179630952380954,55.65054511874547,54.287059523809525,55.69052624665938,55.95719642857143,56.59109465888103,54.240828423588255
2019-07-14,53.908166666666666,55.65054511874547,54.287059523809525,55.7265125728863,53.87878571428572,55.61257038040975,53.74702927190449
2019-07-21,53.511964285714285,55.65054511874547,54.287059523809525,55.76249889911322,53.46576785714286,55.40352197081147,53.66200422473807
2019-07-28,54.20710119047619,55.65054511874547,54.287059523809525,55.79848522534014,55.10847619047619,55.32373778328732,54.709899851925606
2019-08-04,52.39210119047619,55.65054511874547,54.287059523809525,55.834471551567056,54.96707738095238,55.09302689724785,52.91786308028569
2019-08-11,52.01905357142857,55.65054511874547,54.287059523809525,55.870457877793974,54.29031547619047,54.712082611837154,52.86781924443189
2019-08-18,51.15523809523809,55.65054511874547,54.287059523809525,55.90644420402089,53.30570238095238,54.16642665666524,52.93495769305419
2019-08-25,51.83813095238095,55.65054511874547,54.287059523809525,55.94243053024781,54.650571428571425,55.54794577734163,53.17881324376124
2019-09-01,54.091970238095236,55.65054511874547,54.287059523809525,55.97841685647473,54.58705357142857,55.551152488403055,53.388548237719135
2019-09-08,52.44316071428572,55.65054511874547,54.287059523809525,56.01440318270165,54.906511904761906,55.701562216325414,53.7838561275049
2019-09-15,53.34848809523809,55.65054511874547,54.287059523809525,56.050389508928575,55.12004761904762,56.22084560548697,53.509889594249195
2019-09-22,53.22254761904762,55.65054511874547,54.287059523809525,56.08637583515549,56.60389285714285,56.16912493543769,54.24877362873797
2019-09-29,54.82947619047619,55.65054511874547,54.287059523809525,56.12236216138241,56.12404166666666,56.5800118894645,54.251488844277375
